Telco Domain Risk Summary — Per-Domain Risk Score Calculation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Each carrier rolled up from its subdomain-level V5 scores. MAX pillars = worst subdomain per pillar (operational view). Final Risk Score (Max) = max of subdomain composites; Final Risk Score (Avg) = mean across all subdomains.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rank;Domain;Subdomains;KEV Hosts;EPSS Hosts;Any-CVE Hosts;Weak DMARC Hosts;Weak SPF Hosts;Dangling CNAME Hosts;Int IP Exposed Hosts;SSH Hosts;FTP Hosts;MySQL Hosts;Postgres Hosts;RDP Hosts;SNMP Hosts;XSS Hosts;SSRF Hosts;SQLi Hosts;P1 CVE (Max);P2 Email (Max);P3 Infra (Max);P4 Web (Max);P5 Surface (Max);P1 CVE (Avg);P2 Email (Avg);P3 Infra (Avg);P4 Web (Avg);P5 Surface (Avg);Max Penalty;Final Risk Score (Max);Max Band;Final Risk Score (Avg);Avg Band;Worst Subdomain;FRN;holding_company;Registered Name;Company Name;city;state;Domain;# Employees;Private or Public;Aquired or Not;Annual Revenue;Founded Year;WISP or Cable;Principal_Communications_Type;Chief_Executive_Officer
1187;golunatech.com;18;3;0;3;0;0;3;0;0;0;0;0;0;0;3;0;1;84,8;0;0;90;66;13,9;0;0;13,3;27,8;5,0;85,0;Critical;27,5;Medium;help.golunatech.com;23191760;;LunaTech, Inc.;LunaTech;Newton;MA;golunatech.com;01-Oct;Private;Acquired by Luna Innovations Incorporated;$1-5 million;2008;WISP;Interconnected VoIP;Bob Pappas
1188;gonis.us;27;2;0;3;1;1;0;0;4;2;0;0;0;0;2;1;2;80,1;90;80;60;62,1;7;3,3;10;8,5;22,9;5,0;85,0;Critical;24,9;Low;_collab-edge._tls.corp.gonis.us;27270966;;Network Innovation Solutions;Network Innovation Solutions;Huntington;WV;gonis.us;Nov-50;Private;Acquired by Comcast Corp.;$1-5 million;2008;NA;Interconnected VoIP;Robert Whitley
1189;gonthierconcrete.com;3;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;90;0;30;27,5;0;30;0;20;18,3;5,0;85,0;Critical;42,3;Medium;gonthierconcrete.com;;;;;;;;;;;;;;;
1190;govnetnj.com;4;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;27,5;0;22,5;0;0;27,5;5,0;85,0;Critical;34,4;Medium;_wildcard.govnetnj.com;;;;;;;;;;;;;;;
1191;grucom.com;12;0;1;1;1;1;3;0;2;2;0;0;0;0;0;0;0;72,2;90;80;45;73,6;6;7,5;13,3;8,8;13,4;5,0;85,0;Critical;23,6;Low;_dmarc.grucom.com;1814037;;GRUCOM;GRUCOM;Gainesville;FL;grucom.com;Nov-50;Public;Not acquired;$10-50 million;1997;WISP;CAP/LEC;Edward Bielarski
1192;gsolutionz.com;24;0;0;1;1;1;2;0;0;2;0;0;0;0;0;0;0;24,1;90;25;30;44,8;1;3,8;2,1;2,5;9,3;5,0;85,0;Critical;11,5;Low;_sip._tls.gsolutionz.com;35280478;;Gsolutionz Inc;Gsolutionz;Ventura;CA;gsolutionz.com;Nov-50;Private;I do not have enough information to answer this query. The provided documents describe Gsolutionz's service terms and agreements but do not contain information regarding its acquisition status.;$5-10 million;2002;NA;Interconnected VoIP;Chuck Galvin
1193;gtl.net;16;0;0;0;1;1;0;2;0;0;0;0;0;0;0;1;1;0;90;0;60;66;0;5,6;0;9,4;27,8;5,0;85,0;Critical;26,4;Medium;_sip._tls.gtl.net;3734985;GTEL HOLDINGS INC;Global Tel*Link Corporation;Global Tel*Link;Falls Church;VA;gtl.net;1,001-5,000;Private;Acquired by American Securities;$100-500 million;1980;NA;Payphone Service Provider;Deb Alderson
1194;hancocktelephone.com;4;0;0;0;1;1;0;0;0;2;0;0;0;0;0;1;0;0;90;25;50;52;0;22,5;12,5;12,5;32,9;5,0;85,0;Critical;35,5;Medium;_wildcard.hancocktelephone.com;3436367;The Hancock Telephone Company;The Hancock Telephone Company;The Hancock Telephone Company;Hancock;NY;hancocktelephone.com;Nov-50;Private;Acquired by Archtop Fiber;$1-5 million;1941;NA;Incumbent Local Exchange Carrier;Jeff DeMond
1195;harmonytel.com;15;3;0;3;1;0;0;0;0;0;0;0;0;0;2;0;2;86,4;50;0;90;59,9;16,4;3,3;0;12;19;5,0;85,0;Critical;24,0;Low;home.harmonytel.com;;;;;;;;;;;;;;;
1196;high-bridge.com;14;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;66;0;6,4;0;0;41,1;5,0;85,0;Critical;30,6;Medium;cpanel.high-bridge.com;;;;;;;;;;;;;;;
1197;highlandwireless.com;6;0;0;0;1;1;0;0;2;0;0;0;0;0;0;1;0;0;90;55;50;44,8;0;15;18,3;8,3;30,8;5,0;85,0;Critical;34,3;Medium;_wildcard.highlandwireless.com;20389763;;Highland Communication Services;Highland Communication Services;Highland;IL;highlandwireless.com;Nov-50;Public;The provided data does not contain information regarding an acquisition of Highland Communication Services. While there are records of acquisitions for Highland Cellular LLC (by Dobson Communications) and HighNet Telecom (by Focus Group), these are different entities.;$10-50 million;2001;NA;Interconnected VoIP;Angela Imming
1198;hilighttactical.com;5;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;90;65;50;40,2;0;18;13;10;30;5,0;85,0;Critical;40,2;Medium;autoconfig.hilighttactical.com;;;;;;;;;;;;;;;
1199;htcnet.net;31;2;0;3;0;1;0;0;0;0;0;0;0;0;3;1;2;86,4;40;0;90;59,9;6,4;1,3;0;8,4;13,5;5,0;85,0;Critical;12,9;Low;admin.htcnet.net;4970067;HAYNEVILLE HOLDING COMPANY;Hayneville Telephone Company, Inc.;Hayneville Telephone Company;Hayneville;AL;htcnet.net;Nov-50;Private;Acquired by Synergy Technology Partners, Inc.;$1-5 million;1946;NA;Incumbent Local Exchange Carrier;Howard Powell III
1200;hughestel.com;8;1;0;2;1;1;0;0;0;0;0;0;0;0;2;0;0;80,1;90;0;30;48,6;13,9;11,2;0;7,5;30,2;5,0;85,0;Critical;36,5;Medium;_autodiscover._tcp.hughestel.com;25302506;;Hughes Telephone, Inc.;Hughes Telephone;Moline;IL;hughestel.com;01-Oct;Private;Based on the provided data, Hughes Telephone is an unfunded company and has not been acquired.;$1-5 million;1984;NA;Interconnected VoIP;Joseph Alongi
1201;icommnetworks.com;6;4;0;4;0;0;0;0;0;0;0;0;0;0;4;0;4;88,3;0;0;90;27,5;57,5;0;0;60;18,3;5,0;85,0;Critical;56,7;High;icommnetworks.com;25792813;;IComm Networks;IComm;San Juan;PR;icommnetworks.com;Oct-20;Private;IComm Networks has not been acquired. It is an unfunded company based in San Juan, Puerto Rico, founded in 2014. Search results mentioning acquisitions refer to other companies with similar names, such as iCom Network, Inc. (acquired by Darwin Networks in 2000), ICOM Information & Communications (acquired by Bread Financial Holdings in 2006), or I. COMM Corporation (acquired by SoundCom Systems in 2015).;2m-5m;2014;WISP;Private Service Provider;Joaquin Arbona
1202;inc-systems.com;12;1;0;1;1;1;2;0;3;0;0;0;0;0;1;1;0;84,8;90;55;50;44,8;7,1;7,5;13,8;11,7;21,6;5,0;85,0;Critical;33,0;Medium;_sip._tls.inc-systems.com;28114247;;INC Systems;;Grand Blanc;MI;inc-systems.com;01-Oct;Private;I do not have enough information to determine if INC Systems (inc-systems.com) has been acquired. While the search results mention acquisitions of companies with similar names, such as Systems, Inc. (acquired by Chamberlain Group) and Integrated Computer Systems (acquired by Versaterm), they do not refer to INC Systems based in Grand Blanc, MI.;$10-50 million;2004;NA;Interconnected VoIP;Aaron Hamp
1203;infinitimobile.com;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;27,5;0;18;0;0;22;5,0;85,0;Critical;27,6;Medium;_wildcard.infinitimobile.com;21925920;Konatel, Inc;Infiniti Mobile;Infiniti Mobile;Plano;TX;infinitimobile.com;51-200;Private;Acquired by KonaTel;$10-50 million;2008;WISP;Cellular/PCS/SMR;Chuck Grffin
1204;intelegratedllc.com;4;1;1;2;1;1;0;0;0;0;0;0;0;0;1;0;0;80,1;90;0;30;54,9;36,6;22,5;0;7,5;34,4;5,0;85,0;Critical;53,2;High;autodiscover.intelegratedllc.com;26646265;;Intelegrated, LLC;Intelegrated;Sioux Falls;SD;intelegratedllc.com;01-Oct;Private;Acquired by Honeywell;Less than $1 million;2011;NA;Interconnected VoIP;Jeff Hind
1205;intelligentnetworkcommunication.com;4;2;1;3;1;1;0;0;0;0;0;0;0;0;2;0;0;82;90;0;30;27,5;57,6;22,5;0;15;27,5;5,0;85,0;Critical;64,2;High;autodiscover.intelligentnetworkcommunication.com;18110981;;Intelligent Network Communications Inc.;Intelligent Network Communications;Catawissa;MO;intelligentnetworkcommunication.com;01-Oct;Private;Acquired by WHP Telecoms Limited;Less than $1 million;2003;WISP;Interconnected VoIP;James Watson
1206;intico.ai;17;0;0;0;1;1;1;0;0;11;11;0;0;0;0;2;1;0;90;65;80;66;0;5,3;42,1;11,2;34,7;5,0;85,0;Critical;39,2;Medium;academy.intico.ai;21842273;;Intico USA, Corp.;Intico USA;Sunrise;FL;intico.ai;93;Private;Not acquired;$1-5 million;2008;WISP;Other Toll;Oscar Gomez
1207;invtech.com;14;0;0;0;1;1;0;0;1;0;0;0;0;0;0;2;0;0;90;55;50;48,6;0;6,4;3,9;7,1;27;5,0;85,0;Critical;24,2;Low;_wildcard.invtech.com;22944706;;Invision Technologies, LLC;Invision;Albany;GA;invtech.com;46;Private;Not acquired;$5-10 million;2007;NA;Interconnected VoIP;James Pollock
1208;iotum.com;31;0;0;0;1;1;5;0;1;2;0;0;0;0;0;1;0;0;90;55;50;66;0;2,9;3,4;6,5;18,6;5,0;85,0;Critical;17,0;Low;_wildcard.ucaas-staging.iotum.com;22973390;IOTUM GLOBAL HOLDINGS INC;Iotum Inc.;Iotum;;;iotum.com;Nov-50;Private;"I do not have enough information to determine if Iotum Inc. (iotum.com) has been acquired. The provided search results discuss Iotum's own history of acquiring other companies—such as TalkShoe, Global Conference Partners, and Gaboogie—and mention that View, Inc. acquired a similarly named company called ""IoTium"" in July 2021, but they do not state that Iotum Inc. itself has been acquired.";$10-50 million;2005;NA;Audio Bridge Service;Jason Martin
1209;itserviceschicago.com;3;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;80,1;90;0;30;27,5;26,7;30;0;20;27,5;5,0;85,0;Critical;60,5;High;_wildcard.itserviceschicago.com;31348162;;VOX CONNECT;VOX CONNECT;Skokie;IL;itserviceschicago.com;01-Oct;Private;I do not have enough information to answer the query. The provided search results discuss Vox Media, Vox Royalty, and Vox Mobile, but do not contain acquisition information for VOX CONNECT based in Skokie, IL.;$1-5 million;2012;NA;Interconnected VoIP;Claudiu Cionca
1210;jamestownnetworks.com;5;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;67,7;90;80;0;73,6;13,5;18;16;0;52;5,0;85,0;Critical;40,9;Medium;_dc-mx.3d015a818e95.jamestownnetworks.com;23258361;;Jamestown Networks;Jamestown;Sequim;WA;jamestownnetworks.com;01-Oct;Private;"The provided information does not indicate that Jamestown has been acquired; however, in 2022, Simon Property Group acquired a 50% stake in the company.";$1-5 million;2012;WISP;Interconnected VoIP;Hawk Grinnell
1211;jeffersoncountycabletvinc.com;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;59,9;0;30;0;0;38,3;5,0;85,0;Critical;47,0;Medium;jeffersoncountycabletvinc.com;3749082;;Jefferson County Cable, Inc.;Jefferson County Cable;Toronto;OH;jeffersoncountycabletvinc.com;Nov-50;Private;Not acquired;$1-5 million;1981;Cable;Cable TV provider of local exchange;Marvin Bates
1212;lakeplacidfiber.com;12;2;0;2;2;2;2;0;1;1;0;0;0;0;2;0;0;82;90;80;60;82,4;13,7;15;6,7;10;27,5;5,0;85,0;Critical;43,6;Medium;_autodiscover._tcp.lakeplacidfiber.com;26580951;;Lake Placid Fiber;Lake Placid Fiber;Lake Placid;NY;lakeplacidfiber.com;50;Private;I do not have enough information to determine if Lake Placid Fiber has been acquired. The provided search results discuss a proposal by the Development Authority of the North Country (DANC) to install fiber optic infrastructure in Lake Placid, but they do not mention an acquisition of a company named Lake Placid Fiber.;$680,000;2018;NA;Private Service Provider;David Genito
1213;leapnetworks.net;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;27,5;0;30;0;0;27,5;5,0;85,0;Critical;40,1;Medium;_wildcard.leapnetworks.net;31578396;;Leap Networks, Inc.;Leap;Lebanon;TN;leapnetworks.net;01-Oct;Private;Acquired by Alliance Communications;$1-5 million;2004;WISP;Local Reseller;Chris Lamott
1214;letsdial.com;8;1;1;2;1;1;0;0;2;2;0;0;0;0;1;0;0;87,1;90;80;30;72,3;19,4;11,2;20;3,8;39,9;5,0;85,0;Critical;44,8;Medium;access.letsdial.com;31287527;;Lets Dial SG pte ltd;Lets Dial SG pte;;;letsdial.com;Nov-50;Private;I do not have enough information to determine if Lets Dial SG pte ltd has been acquired. The provided search results discuss funding for Princeton Digital Group, Digital Edge, and Airwallex, as well as the acquisition of Prosemi Mfg Pte Ltd by Fusion Worldwide, but they do not contain information regarding Lets Dial SG pte ltd.;$1-5 million;2018;NA;Interconnected VoIP;Ismail Husenbhai
1215;libertymobileinc.com;14;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;4;85,6;90;0;90;27,5;6,1;6,4;0;19,3;21,6;5,0;85,0;Critical;26,9;Medium;api.libertymobileinc.com;27458215;;Liberty Mobile Wireless LLC;Liberty Mobile Wireless;Sunny Isles Beach;FL;libertymobileinc.com;01-Oct;Private;Acquired by StandUp Wireless;$1-5 million;2011;WISP;Cellular/PCS/SMR;Matt Lopatin
1216;linxscom.com;10;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;40,2;0;9;0;0;21,2;5,0;85,0;Critical;22,1;Low;_sip._tcp.linxscom.com;29993979;;Linxs Communications;Linxs Communications;Wellington;FL;linxscom.com;1;Private;I do not have enough information to answer the query for Linxs Communications. The search results provide information for similar names such as Linx Technologies (acquired by TE Connectivity), Linx Telecommunications (acquired by CITIC), Team LINX (acquired by Guardian Capital Partners), and The MNM Group (acquired by Lynx Equity), but none mention Linxs Communications based in Wellington, FL.;Less than $1 million;2020;NA;Interconnected VoIP;Oscar Bailly
1217;livoice.net;4;1;0;1;1;1;2;0;0;0;0;0;0;0;1;1;0;84,8;90;0;60;44,8;21,2;22,5;0;35;31,8;5,0;85,0;Critical;55,3;High;_wildcard.livoice.net;23229057;;LI VOICE;LI VOICE;Northport;NY;livoice.net;01-Oct;Private;I do not have enough information to determine if LI VOICE has been acquired. The provided search results discuss acquisitions of other companies like ConnectMeVoice, VoiceBase, and Tenfold, but do not contain information regarding LI VOICE.;$1-5 million;2011;WISP;Interconnected VoIP;Christopher Tittmann
1218;lockhartcommunications.com;3;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;66,4;90;0;60;27,5;22,1;30;0;20;27,5;5,0;85,0;Critical;48,2;Medium;autodiscover.lockhartcommunications.com;;;;;;;;;;;;;;;
1219;co.th;10;1;1;2;0;0;1;0;1;0;0;0;0;0;1;0;1;78,7;0;55;90;34,7;15,1;0;5,5;12;20;5,0;85,0;Critical;24,7;Low;www.locus.co.th;;;;;;;;;;;;;;;
1220;lotusbusinesstech.com;13;2;0;2;1;1;2;0;0;0;0;0;0;0;2;0;0;84,4;90;0;30;66;12,7;6,9;0;9,2;19,9;5,0;85,0;Critical;29,7;Medium;_sip._tls.lotusbusinesstech.com;26430777;;lotus management services, inc;lotus management services;Orlando;FL;lotusbusinesstech.com;Nov-50;Private;I do not have enough information to answer the query for lotus management services in Orlando, FL. The search results refer to other companies with similar names, such as Lotus Technology Management (an investment firm), Lotus Travel Group Limited (a travel agency), Lotus Tech (an automotive company), and Lotus Management (a real estate buyer in New York). None of the provided data mentions the acquisition status of a company named lotus management services based in Orlando.;$1-5 million;2012;WISP;Interconnected VoIP;Maria Partridge
1221;machnetworks.com;19;0;0;0;1;1;0;0;11;11;0;0;0;0;0;0;0;0;90;80;0;69,3;0;4,7;46,3;0;39,5;5,0;85,0;Critical;47,8;Medium;_autodiscover._tcp.machnetworks.com;29897832;;MACH Networks;MACH;Carlsbad;CA;machnetworks.com;Nov-50;Private;Not Acquired;$5-10 million;2008;WISP;Cellular/PCS/SMR;Donald Ochoa
1222;mackaycomm.com;27;0;0;2;1;1;5;0;0;0;0;0;2;0;0;1;0;26,9;90;70;50;83,3;2;3,3;5,2;7,4;23,5;5,0;85,0;Critical;23,7;Low;_sip._tls.mackaycomm.com;33948381;;Mackay Communications, Inc.;Mackay Communications;Raleigh;NC;mackaycomm.com;201-500;Private;"Acquired by ITT in 1940 and divested in 1987; currently a privately held company.";$100-250 million;1884;WISP;Private Service Provider;Jeffrey Schlacks
1223;mainstreetcommunications.com;3;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;66,4;90;0;0;66;22,1;30;0;0;44,6;5,0;85,0;Critical;51,0;High;autodiscover.mainstreetcommunications.com;4313243;ARVIG ENTERPRISES INC;Mainstreet Communications, LLC;Mainstreet Communications;Perham;MN;mainstreetcommunications.com;Nov-50;Private;Acquired by an affiliate of the San Diego Union Tribune;$1-5 million;1999;Cable;CAP/LEC;Allen Arvig
1224;makglobalnetworks.com;5;0;0;0;1;1;0;0;0;3;3;0;0;0;0;0;1;0;90;65;60;40,2;0;18;39;12;35,1;5,0;85,0;Critical;49,0;Medium;autoconfig.makglobalnetworks.com;30469100;;MAK NETWORKS, INC.;MAK;LOS ANGELES;CA;makglobalnetworks.com;01-Oct;Private;"I do not have enough information to answer the query. The search results discuss ""MAK Acquisition Corp,"" a SPAC looking for acquisitions, and ""MAK-SYSTEM,"" a blood management software company acquired by The Carlyle Group, but neither appears to be the ""MAK"" located in Los Angeles with the domain makglobalnetworks.com.";Not Available;2019;WISP;Private Service Provider;BENJAMIN YOON
1225;mangovoice.com;22;2;1;4;1;1;0;0;0;0;0;0;0;0;3;2;1;84,8;90;0;90;66;11,9;4,1;0;11,4;27,8;5,0;85,0;Critical;29,5;Medium;_wildcard.mangovoice.com;23303878;;Mango Voice;Mango Voice;St. George;UT;mangovoice.com;51-200;Private;Not Acquired;$10-50 million;2013;NA;Interconnected VoIP;David McBride
1226;marketcommunications.net;10;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;84,8;90;0;50;66;8,5;9;0;8;15,1;5,0;85,0;Critical;23,7;Low;_sip._tls.marketcommunications.net;21052931;;Market Communications, LLC;Market Communications;HOLBROOK;NY;marketcommunications.net;Nov-50;Private;Based on the provided data, I do not have enough information to determine if Market Communications has been acquired. The search results mention several acquisitions in the marketing and communications industry, such as Precision Strategies acquiring Firehouse Strategies and Axel Springer acquiring Bisnow, but they do not contain information regarding Market Communications.;$1-5 million;1998;NA;Local Reseller;James Schlenk
1227;maxxtelcommunications.com;12;1;1;2;1;1;0;0;0;0;0;0;0;0;1;0;0;82;90;0;30;27,5;12,4;7,5;0;2,5;27,5;5,0;85,0;Critical;30,8;Medium;autodiscover.fax.maxxtelcommunications.com;23195795;;Maxxtel Communications;Maxxtel Communications;Highland Park;NY;maxxtelcommunications.com;01-Oct;Private;Based on the provided information, Maxxtel Communications has not been acquired.;Less than $1 million;2010;Cable;Interconnected VoIP;Jeffrey Rozen
1228;mechanicsvilletel.net;14;1;1;1;1;1;0;0;0;6;2;0;0;0;0;0;1;80,8;90;65;60;70,8;5,8;6,4;16,4;4,3;36,7;5,0;85,0;Critical;34,3;Medium;email.mechanicsvilletel.net;3748340;;Mechanicsville Telephone Company;Mechanicsville Telephone Company;Mechanicsville;IA;mechanicsvilletel.net;01-Oct;Private;Not acquired;Less than $1 million;1901;NA;Incumbent Local Exchange Carrier;Hans Arwine
1229;milestelephone.com;33;2;0;2;0;0;0;0;0;0;20;0;0;0;2;1;5;86,4;0;40;90;69,3;5,1;0;24,2;12,4;43,2;5,0;85,0;Critical;33,8;Medium;biz.milestelephone.com;3734951;;Miles Cooperative Telephone Association;Miles Cooperative Telephone Association;Miles;IA;milestelephone.com;01-Oct;Private;Not Acquired;$1-5 million;1957;NA;Incumbent Local Exchange Carrier;Larry Johnson
1230;mitelco.net;7;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;90;0;30;62,1;0;12,9;0;4,3;22,5;5,0;85,0;Critical;26,9;Medium;mail.mitelco.net;16893919;MITELCO LLC;Mitelco LLC.;Mitelco;Doral;FL;mitelco.net;01-Oct;Private;Acquired by Searchlight Capital Partners, L.P.;$1-5 million;2004;WISP;Prepaid Card;Luis Coury
1231;mnta.org;8;0;0;0;1;1;0;0;4;0;1;0;0;0;0;0;0;0;90;95;0;66;0;11,2;32,5;0;38;5,0;85,0;Critical;44,4;Medium;autodiscover.mnta.org;9233107;;Minnesota Telecommunications;Minnesota Telecommunications;Mountain Iron;MN;mnta.org;01-Oct;Private;I do not have enough information to answer the query. The provided search data discusses acquisitions of companies like U.S. Internet, Metronet, and Quantum Fiber, but it does not contain information regarding the acquisition status of Minnesota Telecommunications.;$1-5 million;1909;NA;Private Service Provider;Paul Brinkman
1232;4siwi.com;5;0;0;2;1;1;0;0;0;0;0;0;0;0;1;1;0;40,1;90;0;80;27,5;12,8;18;0;16;27,5;5,0;85,0;Critical;42,1;Medium;_wildcard.4siwi.com;18940627;;4 SIWI LLC;4 SIWI;Marion;IL;4siwi.com;2 to 10;Private;I do not have enough information to answer the query. The provided text indicates that Metro Communications is acquiring Clearwave Fiber's Southern Illinois operations, and 4 SIWI provides wireless and fiber services in the same region, but there is no mention of 4 SIWI being acquired.;Less than $5 million;2012;WISP;Interconnected VoIP;Cecilia Uban
1233;6gtechsystems.com;4;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;90;95;0;85;0;22,5;23,8;0;35;5,0;85,0;Critical;51,3;High;_autodiscover._tcp.6gtechsystems.com;36928174;;6GTech Systems Limited Company;6GTech Systems Limited Company;Atlanta;GA;6gtechsystems.com;2 to 10;Private;I do not have enough information to determine if 6GTech Systems Limited Company has been acquired. The provided text mentions job postings for the company in Lahore, Pakistan, but does not contain information regarding its acquisition status.;Less than $1 million;2021;WISP;Interconnected VoIP;Mohsin Khalil
1234;abttelecom.com;5;1;1;2;1;1;0;0;0;0;0;0;0;0;1;0;0;82;90;0;30;66;22,2;18;0;6;35,2;5,0;85,0;Critical;49,4;Medium;_wildcard.abttelecom.com;23809387;;AB&T Telecom, LLC;AB&T Telecom;Millersville;MD;abttelecom.com;5 to 10;Private;I do not have enough information to answer this query. The provided text mentions that AB&T Telecom acquired other firms and performed a spin-off, but there is no information indicating that AB&T Telecom itself has been acquired.;$1 million to $5 million;1999;WISP;Interconnected VoIP;Emmet Tydings
1235;acceleratedtechnologies.ca;3;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;90;55;0;34,7;0;30;36,7;0;32,3;5,0;85,0;Critical;47,1;Medium;acceleratedtechnologies.ca;;;;;;;;;;;;;;;
1236;accesstechnologiesinc.org;11;0;0;0;1;1;0;0;4;0;0;2;0;0;0;0;0;0;90;55;0;83,3;0;8,2;27,3;0;40,9;5,0;85,0;Critical;40,1;Medium;accesstechnologiesinc.org;34645911;;Access Technologies;Access;Albuquerque;NM;accesstechnologiesinc.org;1 to 10;Private;I do not have enough information to determine if Access Technologies Inc. has been acquired. The provided spreadsheet data does not contain acquisition status or history for this company.;$1 million to $5 million;2005;NA;Interconnected VoIP;Ben Boomer
1237;astoria-activewear.com;12;1;0;1;1;0;2;0;0;0;0;0;0;0;1;0;1;80,1;50;0;90;81,5;6,7;4,2;0;12,5;23,4;5,0;85,0;Critical;26,4;Medium;astoria-activewear.com;;;;;;;;;;;;;;;
1238;azkacommunication.com;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;90;0;50;66;0;18;0;10;45,4;5,0;85,0;Critical;41,7;Medium;autoconfig.azkacommunication.com;37370095;;Azka Communication Limited;Azka Communication;Washington DC;DC;azkacommunication.com;1 to 10;Private;Not acquired;Less than $1 million;2024;WISP;Interconnected VoIP;Muhammad Yousaf
1239;barrycommunications.com;13;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;90;0;60;62,1;0;6,9;0;8,5;17,4;5,0;85,0;Critical;20,6;Low;_sip._tls.barrycommunications.com;19941988;;Barry Communications, Inc.;Barry Communications;Worcester;MA;barrycommunications.com;11 to 50;Private;Not Acquired;$1 million - $10 million;1981;WISP;Interconnected VoIP;Barry Gerhardt
1240;bespokevoip.com;10;0;0;1;0;0;2;0;0;1;0;0;1;0;0;0;0;24,1;0;95;30;78,4;2,4;0;9,5;6;21,6;0,0;85,0;Critical;21,7;Low;email.bespokevoip.com;24189334;;Bespoke Communications LLC;Bespoke Communications;San Diego;CA;bespokevoip.com;1 to 10;Private;"I do not have enough information to answer this query. The provided search results discuss the acquisition of ""Bespoke Sports & Entertainment"" by Publicis Groupe and the acquisition of ""Bespoke Capital Acquisition Corp"" by Vintage Wine Estates, but there is no information regarding the acquisition status of ""Bespoke Communications"" located at http://www.bespokevoip.com.";Less than $1 million;2007;NA;Interconnected VoIP;Aaron Carter
1241;brekcom.com;6;0;0;2;1;1;0;0;3;2;0;0;0;0;0;1;0;24,1;90;80;50;40,2;8;15;35,8;8,3;19,2;5,0;85,0;Critical;44,4;Medium;_autodiscover._tcp.brekcom.com;27092675;;BREK Communications, Inc;BREK Communications;Orange;CA;brekcom.com;11 to 50;Private;Not acquired;$5 million - $25 million;1999;WISP;Interconnected VoIP;Dennis Brunning
1242;broadbandhospitality.com;24;0;0;0;0;1;4;1;1;0;1;0;0;0;0;2;0;0;40;95;50;88,2;0;1,7;4;10;16,8;0,0;85,0;Critical;18,0;Low;e.broadbandhospitality.com;31070337;;Broadband Hospitality;Broadband Hospitality;Youngstown;OH;broadbandhospitality.com;51-200;Private;Not Acquired;$10 million - $50 million;1993;WISP;Satellite;Vincenzo Lucci
1243;brucetel.net;11;2;0;2;1;0;0;0;0;0;0;0;0;0;2;0;2;86,4;50;0;90;62,1;15,3;4,5;0;16,4;37,7;5,0;85,0;Critical;32,5;Medium;admin.brucetel.net;3773520;BRUCE TELEPHONE COMPANY INC;Bruce Telephone Co., Inc.;Bruce Telephone;Bruce;WI;brucetel.net;1 to 10;Private;"Based on the provided data, Bruce Telephone Company has not been acquired; it is currently a locally owned and operated service provider.";$1 million - $5 million;1940;NA;Incumbent Local Exchange Carrier;John Manosky
1244;bush-tell.com;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;27,5;0;45;0;0;27,5;5,0;85,0;Critical;51,3;High;_wildcard.bush-tell.com;5079314;BHT Investment Holdings, LLC;Bush-Tell, Inc.;Bush-Tell;Aniak;AK;bush-tell.com;Nov-50;Private;Acquired by BHT Investments, LLC (BHTI);$1 million - $5 million;1970;NA;Incumbent Local Exchange Carrier;Neil Schlenker
1245;buzzbroadband.com;11;1;0;1;1;1;2;0;0;0;0;0;0;0;1;0;0;83;90;0;30;34,7;7,5;8,2;0;8,2;18,2;5,0;85,0;Critical;28,5;Medium;_sip._tls.buzzbroadband.com;9405531;;Buzz Broadband, Inc.;Buzz Broadband;Andalusia;AL;buzzbroadband.com;Unknown;Private;Not Acquired;$1 million - $10 million;2021;NA;Interconnected VoIP;Ed Short
